model,label,Accuracy,Avg. Symmetric Surface Distance,Dice,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Hausdorff Distance 95,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
BANet,0,0.9954745453524302,0.10791850811353629,0.9976799953457004,0.002067320774158278,0.002564880997809928,0.1579921895673091,0.12992283040708982,0.2289156626506024,0.9953864103908966,0.8420078104326907,0.9979326792258417,0.9974351190021901,2062272.4216867469,2061233.7349397591,0.8700771695929104
BANet,1,0.9954745453524302,2.6068840210438027,0.8469336072008736,0.1579921895673091,0.12992283040708982,0.0020673207741582784,0.002564880997809928,9.959877450414705,0.7536606971149427,0.9979326792258417,0.8420078104326907,0.8700771695929104,34879.57831325301,35918.26506024096,0.9974351190021901
BGHNetV4,0,0.9936052058116499,0.15037769192274109,0.9967182154439299,0.0017339118773870461,0.004782677393560599,0.1988777656594734,0.11070906297621635,0.4964361921150189,0.993504011954798,0.8011222343405264,0.9982660881226126,0.9952173226064396,2062272.4216867469,2055939.8072289156,0.8892909370237836
BGHNetV4,1,0.9936052058116499,3.4256351032600163,0.8239959749345703,0.1988777656594734,0.11070906297621635,0.0017339118773870385,0.004782677393560599,12.986479219019378,0.7298262893653884,0.9982660881226126,0.8011222343405267,0.8892909370237836,34879.57831325301,41212.19277108434,0.9952173226064396
MedNeXt,0,0.9935595443449825,0.1643157545119928,0.9966936256077147,0.001625553099831121,0.004953178850134631,0.21971630766861178,0.10912963238012145,0.5499429110024106,0.9934456138471155,0.7802836923313882,0.998374446900169,0.9950468211498652,2062272.4216867469,2055394.0481927712,0.8908703676198785
MedNeXt,1,0.9935595443449825,4.17804273028646,0.817156932372165,0.21971630766861178,0.10912963238012145,0.001625553099831115,0.004953178850134631,16.985815897194225,0.7183747960750161,0.998374446900169,0.7802836923313882,0.8908703676198785,34879.57831325301,41757.951807228914,0.9950468211498652
nnUNet,0,0.9956534741872765,0.10677668127285744,0.9977740551603049,0.002132952109059101,0.0023127358083228893,0.1483537479281405,0.13339172211736897,0.2301086688384673,0.99556910783589,0.8516462520718594,0.9978670478909408,0.9976872641916771,2062272.4216867469,2061884.1807228916,0.8666082778826311
nnUNet,1,0.9956534741872765,2.253356380400735,0.850698996474861,0.1483537479281405,0.13339172211736897,0.002132952109059107,0.0023127358083228893,9.497828886896919,0.757415214684684,0.9978670478909408,0.8516462520718594,0.8666082778826311,34879.57831325301,35267.819277108436,0.9976872641916771
RWKV_med,0,0.983368120997785,nan,0.9915720401738702,0.016631879002214914,0.0,nan,1.0,nan,0.983368120997785,nan,0.983368120997785,1.0,2062272.4216867469,2097152.0,0.0
RWKV_med,1,0.983368120997785,nan,0.0,nan,1.0,0.016631879002214914,0.0,nan,0.0,0.983368120997785,nan,0.0,34879.57831325301,0.0,1.0
RWKV_fd,0,0.9909413291747311,0.19799418724009973,0.9953316592870682,0.0018935583787947304,0.007365087416745735,0.27168983248924566,0.12652493012086963,0.8011598554689865,0.9907830566092971,0.7283101675107545,0.9981064416212051,0.9926349125832543,2062272.4216867469,2050966.3855421687,0.8734750698791306
RWKV_fd,1,0.9909413291747311,5.648405498669629,0.7723495114588322,0.27168983248924555,0.12652493012086963,0.0018935583787947376,0.007365087416745735,23.229135022929192,0.6605010071044167,0.9981064416212051,0.7283101675107545,0.8734750698791306,34879.57831325301,46185.614457831325,0.9926349125832543
RWKV_fd_loss,0,0.9916579062680164,0.19043182608953663,0.995706896914958,0.0018798104879132304,0.006647514797042842,0.26277354927570956,0.12440851106942914,0.7447013903704847,0.9915166536330409,0.7372264507242904,0.9981201895120867,0.9933524852029573,2062272.4216867469,2052408.626506024,0.8755914889305707
RWKV_fd_loss,1,0.9916579062680164,5.100993927972624,0.7808383811251831,0.26277354927570956,0.12440851106942914,0.0018798104879132263,0.006647514797042842,20.004206818414954,0.6710686295556338,0.9981201895120867,0.7372264507242904,0.8755914889305707,34879.57831325301,44743.3734939759,0.9933524852029573
UNet3D,0,0.9957823178854334,0.10114906433951971,0.9978400957081918,0.002090753062933843,0.002222226040617685,0.15796754907385965,0.12880688292931,0.197761609185218,0.9956968090688197,0.8420324509261403,0.9979092469370661,0.9977777739593823,2062272.4216867469,2061976.1686746988,0.87119311707069
UNet3D,1,0.9957823178854334,1.9075044143180535,0.8476410524317011,0.15796754907385965,0.12880688292931,0.00209075306293384,0.002222226040617685,8.079843533427322,0.7519517650996018,0.9979092469370661,0.8420324509261403,0.87119311707069,34879.57831325301,35175.8313253012,0.9977777739593823
