model,label,Accuracy,Avg. Symmetric Surface Distance,Dice,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
nnFormer,0,0.9998126131971715,0.014018537630399001,0.9999062685561073,0.00010541398127054173,8.204274710895157e-05,0.21052657674690947,0.24509431198359188,0.9998125574699366,0.7894734232530907,0.9998945860187295,0.999917957252891,40182818.69565217,40183931.26086956,0.7549056880164081
nnFormer,1,0.9998126131971715,2.4761601956779837,0.7590549939545543,0.21052657674690947,0.24509431198359188,0.00010541398127053422,8.204274710895157e-05,0.6198289093251745,0.9998945860187295,0.7894734232530907,0.7549056880164081,16393.82608695652,15281.260869565218,0.999917957252891
BGHNetV4,0,0.9996267082956437,0.08932417505283731,0.9998132955662143,0.00028404536994430313,8.933369191914579e-05,0.42769907837206916,0.7048466604612282,0.999626666361402,0.5723009216279308,0.9997159546300558,0.9999106663080808,40182818.69565217,40190696.91304348,0.2951533395387718
BGHNetV4,1,0.9996267082956437,26.962751032867256,0.34702025730885266,0.4276990783720692,0.7048466604612282,0.0002840453699442896,8.933369191914579e-05,0.23442432079711395,0.9997159546300558,0.5723009216279308,0.2951533395387718,16393.82608695652,8515.608695652174,0.9999106663080808
MedNeXt,0,0.999831485784289,0.009373629178323595,0.9999157081593132,9.77313911335115e-05,7.084839776363138e-05,0.18012862372609592,0.23170617589756642,0.9998314322431981,0.8198713762739039,0.9999022686088666,0.9999291516022363,40182818.69565217,40184056.347826086,0.7682938241024336
MedNeXt,1,0.999831485784289,1.2552533303501583,0.7845430722574973,0.1801286237260959,0.23170617589756642,9.773139113351004e-05,7.084839776363138e-05,0.6492451178317369,0.9999022686088666,0.8198713762739039,0.7682938241024336,16393.82608695652,15156.173913043478,0.9999291516022363
nnUNet,0,0.999836963510205,0.008906479915921537,0.9999184486124438,0.00010076050273438478,6.233813253254527e-05,0.16222250520447795,0.2382537416035049,0.9998369121256094,0.8377774947955218,0.9998992394972656,0.9999376618674671,40182818.69565217,40184461.782608695,0.761746258396495
nnUNet,1,0.999836963510205,1.3380905487048198,0.7889997716439587,0.16222250520447795,0.2382537416035049,0.00010076050273439134,6.233813253254527e-05,0.6551952127883394,0.9998992394972656,0.8377774947955218,0.761746258396495,16393.82608695652,14750.739130434782,0.9999376618674671
SwinUNETR,0,0.9998100391672502,0.014039846567440385,0.9999049821595068,0.00011839215474579204,7.16375860258981e-05,0.19784401917633243,0.2777775823918321,0.9998099851252564,0.8021559808236676,0.9998816078452543,0.9999283624139742,40182818.69565217,40184761.73913044,0.722222417608168
SwinUNETR,1,0.9998100391672502,2.4207090581867785,0.7486160738167313,0.19784401917633243,0.2777775823918321,0.00011839215474579822,7.16375860258981e-05,0.6064595245865076,0.9998816078452543,0.8021559808236676,0.722222417608168,16393.82608695652,14450.782608695652,0.9999283624139742
UMamba,0,0.9998244629648845,0.011243833213160692,0.9999121938722643,9.626757825715966e-05,7.93400626423239e-05,0.18716438234134494,0.2272494920279247,0.9998244065448495,0.8128356176586552,0.999903732421743,0.9999206599373577,40182818.69565217,40183421.86956522,0.7727505079720752
UMamba,1,0.9998244629648845,1.853763656054837,0.7831828067511826,0.18716438234134494,0.2272494920279247,9.626757825716065e-05,7.93400626423239e-05,0.648636095815251,0.999903732421743,0.8128356176586552,0.7727505079720752,16393.82608695652,15790.652173913044,0.9999206599373577
VoComni,0,0.9998381917201697,0.008371601920502694,0.9999190631533199,0.00010154233031131489,6.0327280451249294e-05,0.1574098431116818,0.24248645833213098,0.9998381408712449,0.8425901568883181,0.9998984576696885,0.9999396727195488,40182818.69565217,40184605.39130435,0.757513541667869
VoComni,1,0.9998381917201697,1.1251585842160912,0.7887567817644552,0.15740984311168177,0.24248645833213098,0.00010154233031130641,6.0327280451249294e-05,0.6550416746368907,0.9998984576696885,0.8425901568883181,0.757513541667869,16393.82608695652,14607.130434782608,0.9999396727195488
