radius,input_normalized_energy,output_normalized_energy,input_raw_avg_energy,output_raw_avg_energy
3.608439182439327278e-03,7.874521842130936232e-13,4.130977277452885841e-13,5.347879130434087837e-13,1.326485078691750210e-12
1.082531754731798183e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.804219591219663466e-02,5.355023543051664614e-01,1.815332235156689455e-01,3.636794617248712558e-01,5.829156059382260002e-01
2.525907427707529268e-02,7.266888700120031908e-02,2.704781059316944958e-02,4.935212982029470175e-02,8.685237113006398502e-02
3.247595264195394377e-02,7.005712216365295175e-02,2.864062821453187968e-02,4.757838368708931093e-02,9.196701753430977511e-02
3.969283100683260179e-02,1.707325923275307064e-02,7.814129920152757328e-03,1.159508203416486673e-02,2.509170601982234350e-02
4.690970937171125288e-02,4.028255421757180599e-02,2.019439923461348665e-02,2.735737297319313852e-02,6.484559816890546335e-02
5.412658773658991090e-02,1.855195739463297647e-02,1.043410562183775397e-02,1.259932066587699136e-02,3.350462732488206086e-02
6.134346610146856199e-02,2.453748534358765609e-02,1.541138527612354384e-02,1.666431415304756372e-02,4.948701296985232034e-02
6.856034446634720614e-02,9.142306280356660847e-03,6.517350843610274398e-03,6.208878448869113026e-03,2.092765964565806991e-02
7.577722283122587110e-02,2.213944118127705862e-02,1.777681523902269883e-02,1.503571363779269802e-02,5.708257048502408948e-02
8.299410119610453607e-02,6.683649110253127648e-03,5.914934231490183957e-03,4.539113397416712388e-03,1.899325867111180052e-02
9.021097956098317328e-02,1.195010512173334816e-02,1.206802024244973265e-02,8.115758527087546179e-03,3.875123900664481646e-02
9.742785792586183824e-02,6.848023158999008361e-03,7.502223196186189394e-03,4.650745895553916147e-03,2.409015218038707690e-02
1.046447362907405032e-01,4.631875025774009370e-03,5.595169123684634246e-03,3.145677703576277035e-03,1.796647102329434337e-02
1.118616146556191404e-01,9.177104187336217883e-03,1.214607874873869196e-02,6.232510994977894479e-03,3.900189021313393845e-02
1.190784930204978054e-01,4.040778731720427383e-03,6.060545890601250381e-03,2.744242340462134215e-03,1.946082767505818295e-02
1.262953713853764426e-01,7.389003213547745350e-03,1.197920657955306965e-02,5.018145466182242879e-03,3.846605225614053297e-02
1.335122497502551075e-01,3.533141085559438500e-03,6.414697581600700346e-03,2.399486832997266370e-03,2.059803299513653790e-02
