case,layer,band,input_high_ratio,output_high_ratio,high_ratio_delta,input_boundary_energy_ratio,output_boundary_energy_ratio,boundary_energy_delta
ESO_TJ_1010018171,f0,1,0.8657310192583397,0.8218505735416065,-0.04388044571673322,0.7533544875156104,0.8653423864046182,0.11198789888900784
ESO_TJ_1010018171,f0,2,0.008271137255602419,0.06309983823465148,0.054828700979049065,0.639953147160969,0.7233344586122651,0.08338131145129613
ESO_TJ_1010018171,f0,3,6.12862342683453e-06,0.02588784913639662,0.025881720512969785,0.6291729445600778,0.740236696276219,0.11106375171614125
ESO_TJ_1010018171,f1,1,0.9613882482448126,0.9188165095620217,-0.04257173868279096,0.8843494068011818,0.8402023774694207,-0.04414702933176107
ESO_TJ_1010018171,f1,2,0.023117203661458675,0.09701582815410666,0.07389862449264797,0.9204543769270597,0.8883136093074133,-0.03214076761964635
ESO_TJ_1010018171,f1,3,2.4386870840052267e-05,0.01936520265504012,0.01934081578420007,0.8984921563703547,0.875538851526683,-0.02295330484367175
ESO_TJ_1010214968,f0,1,0.8720907673074142,0.8412347904825265,-0.03085597682488772,0.6745775916659605,0.8013213381984114,0.1267437465324509
ESO_TJ_1010214968,f0,2,0.008549984291008686,0.05231517454911612,0.043765190258107434,0.5911128392731801,0.6698912395400518,0.07877840026687166
ESO_TJ_1010214968,f0,3,6.710533464325591e-06,0.023634602674761827,0.023627892141297503,0.62310103026019,0.7348377757790082,0.11173674551881818
ESO_TJ_1010214968,f1,1,0.9590681683243724,0.9255955868912544,-0.03347258143311793,0.8170626936276546,0.8261426021580218,0.00907990853036722
ESO_TJ_1010214968,f1,2,0.022616151056356747,0.08652094532915144,0.06390479427279469,0.7980495569364727,0.8504940047282326,0.05244444779175983
ESO_TJ_1010214968,f1,3,2.12246987717678e-05,0.014249472249295752,0.014228247550523983,0.8829307009030689,0.9282618631822801,0.04533116227921119
ESO_TJ_2002759833,f0,1,0.8545763291611269,0.7840770656709214,-0.07049926349020552,0.7111267920239801,0.8764421906148964,0.16531539859091626
ESO_TJ_2002759833,f0,2,0.0064724718730243165,0.06309930965308652,0.05662683778006221,0.6252862042864782,0.665477633894811,0.040191429608332774
ESO_TJ_2002759833,f0,3,4.588958563929314e-06,0.04007732978424072,0.04007274082567679,0.6326606705529162,0.7593314948118558,0.1266708242589396
ESO_TJ_2002759833,f1,1,0.9503574453178167,0.9177424950959097,-0.03261495022190708,0.843371490773959,0.874866762256582,0.03149527148262299
ESO_TJ_2002759833,f1,2,0.02453633977142265,0.11234727709880336,0.08781093732738071,0.8700802449926468,0.8924829320445754,0.022402687051928605
ESO_TJ_2002759833,f1,3,2.4739852157309802e-05,0.015744306852716747,0.015719567000559438,0.8694383818571163,0.8984847296088708,0.02904634775175452
ESO_TJ_2501876128,f0,1,0.8610656474502426,0.8107525947877292,-0.0503130526625134,0.7208683394539485,0.8588128197228846,0.13794448026893613
ESO_TJ_2501876128,f0,2,0.007700570082351848,0.07116511566385095,0.0634645455814991,0.6618375801645697,0.7601769043888454,0.09833932422427571
ESO_TJ_2501876128,f0,3,5.328766376934564e-06,0.025603634204848333,0.0255983054384714,0.6593448279840088,0.7565856229768502,0.09724079499284133
ESO_TJ_2501876128,f1,1,0.9634343407165418,0.9301201339210339,-0.033314206795507895,0.9436017708669187,0.8454193358632835,-0.0981824350036351
ESO_TJ_2501876128,f1,2,0.02550246446144201,0.09196740390775929,0.06646493944631728,0.9605699519360219,0.8958491363404723,-0.06472081559554965
ESO_TJ_2501876128,f1,3,2.5561155723743723e-05,0.014994776613037426,0.014969215457313683,0.8933007338477872,0.7494074338007407,-0.14389330004704648
ESO_TJ_2801087499,f0,1,0.8686708405476086,0.8242699524361153,-0.04440088811149323,0.6026527822482409,0.719483072287486,0.11683029003924505
ESO_TJ_2801087499,f0,2,0.00734190081164337,0.06384481117438216,0.056502910362738794,0.6088370652502617,0.6836863363127071,0.07484927106244543
ESO_TJ_2801087499,f0,3,6.150409193378359e-06,0.021669220287230697,0.02166306987803732,0.6089356122786435,0.6642614617103254,0.05532584943168195
ESO_TJ_2801087499,f1,1,0.958082358743299,0.9249877941223942,-0.033094564620904765,0.878149672334431,0.8230027837095956,-0.05514688862483541
ESO_TJ_2801087499,f1,2,0.019984146945514113,0.09205137530726742,0.0720672283617533,0.8946354797005085,0.8659377410809018,-0.028697738619606672
ESO_TJ_2801087499,f1,3,2.0486827493578217e-05,0.015946245888922222,0.015925759061428645,0.8775509359431103,0.823306570505364,-0.054244365437746245
