case,mean_input_high_ratio,mean_output_high_ratio,mean_high_ratio_delta,mean_input_boundary_energy_ratio,mean_output_boundary_energy_ratio,mean_boundary_energy_delta
ESO_TJ_1010018171,0.30975635398574675,0.3243393002139705,0.014582946228223787,0.787629419889209,0.8221613965994364,0.034531976710227674
ESO_TJ_1010214968,0.31039216770189804,0.3239250953626844,0.013532927660786327,0.7311390687777545,0.8018248039310011,0.0706857351532465
ESO_TJ_2002759833,0.3059953191556853,0.32218129735927975,0.016185978203594423,0.7586606307478494,0.8278476238719318,0.06918699312408245
ESO_TJ_2501876128,0.30962231877211316,0.32410060984970984,0.014478291077596692,0.8065872007088758,0.8110418755155129,0.0044546748066369895
ESO_TJ_2801087499,0.309017647380792,0.3237948998693853,0.014777252488593346,0.7451269246258659,0.7632796609343967,0.018152736308530686
ESO_TJ_60010190651,0.30550802842413494,0.31924154884336403,0.01373352041922915,0.7681294024144409,0.8556071314846543,0.08747772907021334
ESO_TJ_60011222468,0.30710616138285624,0.3209477599919868,0.013841598609130576,0.7543815897814908,0.7800834788068509,0.025701889025360174
ESO_TJ_60011433208,0.3054067456925776,0.3227325045436446,0.01732575885106703,0.78857252036449,0.7909394582942425,0.0023669379297525848
ESO_TJ_60011448192,0.3048130928522817,0.32475957248959614,0.019946479637314374,0.7903418970907633,0.8172646839932501,0.02692278690248684
ESO_TJ_60011558269,0.30267367189852995,0.31813614505798954,0.015462473159459603,0.7716394411664327,0.7918347170647017,0.020195275898268934
ESO_TJ_60011632915,0.30533777464592426,0.3205288574209015,0.015191082774977249,0.7882263264143393,0.8198442984106751,0.031617971996335835
ESO_TJ_60012088441,0.3059700350431556,0.322901336620447,0.0169313015772914,0.742178168989511,0.7717628610849901,0.029584692095479186
ESO_TJ_60013355605,0.3051896175698753,0.31996524057683734,0.014775623006962077,0.7813424398833925,0.7839872328502283,0.0026447929668357664
ESO_TJ_60013786525,0.3108540708167741,0.32575709370371325,0.014903022886939165,0.7345174105049024,0.7740290212894388,0.039511610784536445
ESO_TJ_60014022928,0.3068252588118245,0.3222679222773647,0.015442663465540275,0.7647214898460587,0.8303116029669774,0.06559011312091867
ESO_TJ_60014566213,0.31029264830297815,0.3283636991069684,0.0180710508039902,0.7687137020813929,0.8207850277982797,0.05207132571688674
ESO_TJ_60014832691,0.30762416504889506,0.32281134239544423,0.015187177346549246,0.7960706096198753,0.8028723649563618,0.006801755336486581
ESO_TJ_60015081208,0.3026541115532303,0.32244903433081623,0.019794922777585922,0.7729162565145425,0.8270600852264139,0.05414382871187127
ESO_TJ_60015113400,0.3085447078034305,0.31992040728373605,0.01137569948030553,0.7628361355925127,0.8056031717645485,0.0427670361720359
ESO_TJ_60015218276,0.3114685941399718,0.32446362072165885,0.012995026581687085,0.7260550338699922,0.8184337150041819,0.09237868113418984
ESO_TJ_60015513981,0.30665128202146913,0.319226131551384,0.012574849529914922,0.7771988069330792,0.7983545640464303,0.021155757113351326
ESO_TJ_60015631521,0.30550085392395665,0.32019294685445543,0.014692092930498826,0.7955901997337919,0.8257106264867294,0.03012042675293758
ESO_TJ_60015786597,0.3028121318552187,0.3194700697770843,0.016657937921865568,0.8144609988456182,0.7976289145312484,-0.01683208431436989
ESO_TJ_60016089044,0.30350664737796645,0.32047605929477313,0.016969411916806693,0.7476695785500493,0.7708219044340515,0.023152325884002196
ESO_TJ_60016118012,0.30828866365944163,0.3207977445482188,0.012509080888777148,0.7905890266130632,0.768401750677984,-0.022187275935079187
ESO_TJ_60016195217,0.30226026464035893,0.31911348814505813,0.01685322350469914,0.7944923328218089,0.7894134366955715,-0.005078896126237409
ESO_TJ_60016836064,0.3074194727941968,0.3206339227430245,0.013214449948827737,0.7595827923153614,0.7969267606993222,0.03734396838396078
ESO_TJ_60016973126,0.29829015523829533,0.3123741714116604,0.014084016173365051,0.8310404741152774,0.8530282995991466,0.02198782548386935
ESO_TJ_60017000815,0.3052429301575765,0.321905568250429,0.016662638092852525,0.7644299226294967,0.8210999813904142,0.0566700587609175
ESO_TJ_60017001645,0.30702026853965636,0.3213909629747697,0.01437069443511334,0.7552733670518049,0.8373092284320817,0.08203586138027669
ESO_TJ_60017149369,0.3089320566332652,0.3231210491366843,0.01418899250341915,0.7628648145026996,0.7898396306511252,0.02697481614842538
ESO_TJ_60017481027,0.3104058791997834,0.3189002687585513,0.008494389558767884,0.7449567884564549,0.8475090130337977,0.10255222457734298
ESO_TJ_60017541611,0.3034873594207638,0.3234492390065442,0.01996187958578037,0.7985655171868715,0.8076106505582334,0.00904513337136196
ESO_TJ_60017544096,0.3098008737803062,0.32159771905675677,0.01179684527645057,0.75005881124962,0.7900886731960162,0.04002986194639616
ESO_TJ_60017676085,0.3074628021220932,0.31900865841145526,0.011545856289362067,0.7592217491055284,0.8075852323823978,0.04836348327686951
