case,layer,band,raw_energy,weighted_energy,ratio
ESO_TJ_1010018171,f0,1,1588.8919677734375,270724.6875,170.3858367912669
ESO_TJ_1010018171,f0,2,743.8480224609375,113676.734375,152.82252683674974
ESO_TJ_1010018171,f0,3,488.9891052246094,67129.0546875,137.28128903130715
ESO_TJ_1010018171,f1,1,171.73744201660156,217940.40625,1269.0325632597394
ESO_TJ_1010018171,f1,2,13.333667755126953,25574.015625,1918.0030652229632
ESO_TJ_1010018171,f1,3,4.660933494567871,10339.6533203125,2218.36534084014
ESO_TJ_1010214968,f0,1,1584.4356689453125,271562.15625,171.39361450425218
ESO_TJ_1010214968,f0,2,748.8160400390625,112627.171875,150.40699698303013
ESO_TJ_1010214968,f0,3,471.4591979980469,63588.0390625,134.87495701115432
ESO_TJ_1010214968,f1,1,169.10157775878906,221113.5,1307.5779831894934
ESO_TJ_1010214968,f1,2,11.747307777404785,23376.630859375,1989.9564480924305
ESO_TJ_1010214968,f1,3,3.908270835876465,9169.77734375,2346.249205549556
ESO_TJ_2002759833,f0,1,1484.719482421875,262874.875,177.05356339178513
ESO_TJ_2002759833,f0,2,838.5403442382812,125389.6796875,149.53326998404847
ESO_TJ_2002759833,f0,3,534.1654663085938,76115.3515625,142.49395807726572
ESO_TJ_2002759833,f1,1,177.00405883789062,217593.203125,1229.311940944144
ESO_TJ_2002759833,f1,2,15.071050643920898,26618.15234375,1766.1776191087918
ESO_TJ_2002759833,f1,3,4.8957133293151855,10348.56640625,2113.801546402115
ESO_TJ_2501876128,f0,1,1495.5625,266498.78125,178.19300848343005
ESO_TJ_2501876128,f0,2,738.3319702148438,114888.4453125,155.6054050850175
ESO_TJ_2501876128,f0,3,482.6937255859375,69014.96875,142.9787981317205
ESO_TJ_2501876128,f1,1,168.4967498779297,218840.046875,1298.7790389639033
ESO_TJ_2501876128,f1,2,12.659037590026855,25211.630859375,1991.5914365587664
ESO_TJ_2501876128,f1,3,4.354623794555664,9786.1630859375,2247.3039113436917
ESO_TJ_2801087499,f0,1,1582.2310791015625,277077.0,175.11791018372128
ESO_TJ_2801087499,f0,2,653.8272705078125,104508.1015625,159.8405362953595
ESO_TJ_2801087499,f0,3,417.19635009765625,61721.01953125,147.9423765735303
ESO_TJ_2801087499,f1,1,168.59901428222656,220424.828125,1307.3909658571208
ESO_TJ_2801087499,f1,2,10.985057830810547,22469.626953125,2045.4718854643484
ESO_TJ_2801087499,f1,3,3.6357860565185547,8708.1103515625,2395.110772799033
ESO_TJ_60010190651,f0,1,1513.2347412109375,250000.546875,165.20936247798647
ESO_TJ_60010190651,f0,2,750.2077026367188,112032.5703125,149.33540394046128
ESO_TJ_60010190651,f0,3,503.8192138671875,70447.6640625,139.8272676457922
ESO_TJ_60010190651,f1,1,173.32974243164062,220385.4375,1271.4807880529584
ESO_TJ_60010190651,f1,2,11.632880210876465,23982.94921875,2061.6518681525195
ESO_TJ_60010190651,f1,3,4.07133674621582,9656.1767578125,2371.7460283247856
ESO_TJ_60011222468,f0,1,1555.0780029296875,270881.15625,174.19136258095966
ESO_TJ_60011222468,f0,2,770.7979736328125,116419.2265625,151.0372763615474
ESO_TJ_60011222468,f0,3,471.560546875,63929.39453125,135.5698540832257
ESO_TJ_60011222468,f1,1,172.2347869873047,221608.046875,1286.662530556811
ESO_TJ_60011222468,f1,2,12.234658241271973,23775.837890625,1943.3185154627752
ESO_TJ_60011222468,f1,3,3.945915937423706,9183.2216796875,2327.2725079087495
ESO_TJ_60011433208,f0,1,1567.0166015625,268317.71875,171.2283829555191
ESO_TJ_60011433208,f0,2,736.1124877929688,111891.2734375,152.00295510944954
ESO_TJ_60011433208,f0,3,456.8752746582031,63086.97265625,138.0835780694116
ESO_TJ_60011433208,f1,1,169.22459411621094,220725.453125,1304.3343627311099
ESO_TJ_60011433208,f1,2,12.330239295959473,23471.69140625,1903.587663050432
ESO_TJ_60011433208,f1,3,4.103481769561768,9300.19921875,2266.416604487791
ESO_TJ_60011448192,f0,1,1481.582763671875,260084.171875,175.54481481035944
ESO_TJ_60011448192,f0,2,676.518798828125,109316.296875,161.58648815725297
ESO_TJ_60011448192,f0,3,394.4871520996094,59019.52734375,149.61077193420792
ESO_TJ_60011448192,f1,1,173.18150329589844,220354.6875,1272.3915851654206
ESO_TJ_60011448192,f1,2,11.221037864685059,22502.34765625,2005.371332634708
ESO_TJ_60011448192,f1,3,3.7352449893951416,8694.205078125,2327.6130756634916
ESO_TJ_60011558269,f0,1,1474.7803955078125,252059.75,170.9134124428118
ESO_TJ_60011558269,f0,2,769.666748046875,115492.515625,150.0552231444017
ESO_TJ_60011558269,f0,3,476.9566345214844,67066.5234375,140.61346165104842
ESO_TJ_60011558269,f1,1,171.77597045898438,220518.1875,1283.7545723699038
ESO_TJ_60011558269,f1,2,12.428999900817871,24419.61328125,1964.728737317082
ESO_TJ_60011558269,f1,3,4.001286029815674,9167.953125,2291.251626772617
