patch_idx,sd,sh,sw,layer,band,raw_energy,weighted_energy,ratio
0,0,0,0,f0,1,226.48036193847656,38343.8046875,169.30299986855343
0,0,0,0,f0,2,114.28312683105469,17018.529296875,148.91550282863216
0,0,0,0,f0,3,79.51034545898438,12293.8251953125,154.61918979655482
0,0,0,0,f1,1,21.031631469726562,26955.87109375,1281.682361758271
0,0,0,0,f1,2,2.164278984069824,3661.11474609375,1691.609433460147
0,0,0,0,f1,3,1.0014017820358276,1702.4332275390625,1700.0501278081942
1,0,0,32,f0,1,201.66827392578125,34086.078125,169.02052792668977
1,0,0,32,f0,2,105.79423522949219,16230.4052734375,153.41483624537614
1,0,0,32,f0,3,60.379764556884766,9499.7158203125,157.3327734884177
1,0,0,32,f1,1,19.297096252441406,25372.89453125,1314.8555720158463
1,0,0,32,f1,2,1.838620901107788,3523.338623046875,1916.294229507622
1,0,0,32,f1,3,0.7360778450965881,1524.800537109375,2071.5207600185536
2,0,0,64,f0,1,255.00616455078125,38368.50390625,150.46108384807007
2,0,0,64,f0,2,109.6543197631836,17320.73046875,157.95757527981377
2,0,0,64,f0,3,82.66980743408203,12336.134765625,149.221767275329
2,0,0,64,f1,1,22.91453742980957,26477.9453125,1155.5086107936716
2,0,0,64,f1,2,1.881131649017334,3511.632568359375,1866.7659811007463
2,0,0,64,f1,3,0.8236305713653564,1616.46923828125,1962.6144226283625
3,0,32,0,f0,1,215.2632293701172,35730.13671875,165.98346509666314
3,0,32,0,f0,2,99.14509582519531,15798.9140625,159.3514427617804
3,0,32,0,f0,3,71.35509490966797,11392.751953125,159.66276784506422
3,0,32,0,f1,1,21.76946258544922,26832.6484375,1232.5820323848418
3,0,32,0,f1,2,2.017040967941284,3945.691162109375,1956.1779977799029
3,0,32,0,f1,3,0.8696713447570801,1665.6812744140625,1915.2997100041416
4,0,32,32,f0,1,188.39627075195312,32387.23828125,171.91018777591205
4,0,32,32,f0,2,99.09144592285156,15701.1640625,158.45125597141967
4,0,32,32,f0,3,65.5206527709961,10058.5673828125,153.51750871543445
4,0,32,32,f1,1,19.120100021362305,25080.142578125,1311.716076281108
4,0,32,32,f1,2,1.9091936349868774,3816.79052734375,1999.1636560049524
4,0,32,32,f1,3,0.7482904195785522,1573.0653076171875,2102.212278089913
5,0,32,64,f0,1,221.24191284179688,37182.68359375,168.06347005478116
5,0,32,64,f0,2,106.365234375,17225.5,161.9467122055109
5,0,32,64,f0,3,89.31405639648438,13676.59375,153.1292419335037
5,0,32,64,f1,1,22.154144287109375,26539.35546875,1197.9408965116747
5,0,32,64,f1,2,2.0865774154663086,3638.00439453125,1743.5271596268499
5,0,32,64,f1,3,0.9470963478088379,1686.2850341796875,1780.47886899704
6,0,64,0,f0,1,207.45681762695312,33691.3515625,162.40175641315054
6,0,64,0,f0,2,93.40250396728516,15039.9248046875,161.02271530060023
6,0,64,0,f0,3,74.24101257324219,11218.4169921875,151.10808168355547
6,0,64,0,f1,1,21.794910430908203,27039.181640625,1240.619076015034
6,0,64,0,f1,2,2.0819854736328125,3872.369140625,1859.940518156606
6,0,64,0,f1,3,0.8733893632888794,1705.853271484375,1953.141798130875
7,0,64,32,f0,1,175.6216583251953,29504.59375,168.00088344096338
7,0,64,32,f0,2,90.17861938476562,15200.1904296875,168.55647750419192
7,0,64,32,f0,3,68.40876007080078,10003.013671875,146.22416283414682
7,0,64,32,f1,1,18.643831253051758,24608.2421875,1319.9133726052485
7,0,64,32,f1,2,2.004380226135254,3896.77734375,1944.1308055915258
7,0,64,32,f1,3,0.803774356842041,1609.13818359375,2001.9775076103583
8,0,64,64,f0,1,191.98175048828125,31634.384765625,164.77808273529536
8,0,64,64,f0,2,98.73944091796875,15960.6552734375,161.6441730381805
8,0,64,64,f0,3,82.9591293334961,11497.4697265625,138.5919767834409
8,0,64,64,f1,1,20.36915397644043,25969.1640625,1274.9260029422644
8,0,64,64,f1,2,1.946420431137085,3757.929931640625,1930.6876723665187
8,0,64,64,f1,3,0.7998776435852051,1572.3287353515625,1965.711565961661
9,32,0,0,f0,1,251.77073669433594,39627.12890625,157.3937043936899
9,32,0,0,f0,2,136.06552124023438,18153.521484375,133.41749856176568
